time_x	cp_y
1287	-3.00917E-4
1288	-7.34255E-4
1289	-0.00138
1290	-0.0021
1291	-0.00268
1292	-0.00372
1293	-0.0032
1294	-0.00178
1295	3.77798E-4
1296	0.00118
1297	0.00107
1298	-4.27982E-4
1299	-0.00193
1300	-0.0051
1301	-0.00873
1302	-0.00964
1303	-0.00958
1304	-0.01053
1305	-0.01013
1306	-0.00703
1307	-0.0051
1308	-0.00496
1309	-0.00456
1310	-0.00183
1311	-6.88355E-4
1312	-0.00153
1313	-0.00189
1314	-0.00244
1315	-0.00349
1316	-0.00209
1317	-1.05934E-4
1318	9.43319E-4
1319	0.00312
1320	0.00211
1321	-0.00137
1322	-0.00435
1323	-0.00512
1324	-0.00556
1325	-0.00458
1326	-0.00226
1327	3.24543E-4
1328	0.00185
1329	0.00228
1330	0.00295
1331	0.00324
1332	0.00351
1333	0.00156
1334	9.0074E-4
1335	0.00151
1336	0.00164
1337	0.00144
1338	0.00183
1339	0.00107
1340	-0.00114
1341	-0.00151
1342	-0.00116
1343	1.49034E-4
1344	7.88705E-4
1345	0.0016
1346	-5.81953E-4
1347	-0.00272
1348	-0.00273
1349	-0.00414
1350	-0.00492
1351	-0.0052
1352	-0.00581
1353	-0.00766
1354	-0.0065
1355	-0.00506
1356	-0.00286
1357	7.41226E-4
1358	0.00311
1359	0.00463
1360	0.00525
1361	0.00534
1362	0.00283
1363	0.00103
1364	-5.47188E-4
1365	-0.00228
1366	-0.00172
1367	-1.51795E-4
1368	2.80697E-4
1369	0.00122
1370	0.00207
1371	-4.18255E-5
1372	-5.07996E-4
1373	5.0644E-4
1374	0.00214
1375	0.00314
1376	0.00448
1377	0.00325
1378	0.00394
1379	0.00452
1380	0.00488
1381	0.00512
1382	0.00505
1383	5.29296E-5
1384	-0.00725
1385	-0.01087
1386	-0.01165
1387	-0.01304
1388	-0.0126
1389	-0.01059
1390	-0.0079
1391	-0.00749
1392	-0.00499
1393	-0.00203
1394	0.00185
1395	0.00237
1396	5.59842E-4
1397	1.36205E-4
1398	0.0014
1399	-7.07829E-4
1400	-0.0024
1401	-0.00276
1402	-0.00429
1403	-0.00635
1404	-0.00632
1405	-0.00542
1406	-0.00448
1407	-0.00385
1408	-0.00439
1409	-0.00432
1410	-0.00479
1411	-0.00388
1412	-0.00304
1413	-6.68043E-4
1414	0.00126
1415	0.00315
1416	0.0035
1417	0.00354
1418	0.00371
1419	0.00284
1420	9.48475E-4
1421	1.76452E-4
1422	-0.00142
1423	-0.00503
1424	-0.00585
1425	-0.00623
1426	-0.00595
1427	-0.00453
1428	-0.00276
1429	-0.00212
1430	-5.45702E-4
1431	0.00289
1432	0.00556
1433	0.00822
1434	0.00851
1435	0.00774
1436	0.00381
1437	-1.66022E-4
1438	-0.00329
1439	-0.00365
1440	-0.00315
1441	-0.0019
1442	-0.00157
1443	-6.51881E-4
1444	0.00195
1445	0.00476
1446	0.00632
1447	0.00772
1448	0.00668
1449	0.00115
1450	-0.00626
1451	-0.01003
1452	-0.0104
1453	-0.00946
1454	-0.00551
1455	-9.19307E-4
1456	0.00167
1457	0.00272
1458	0.0054
1459	0.00596
1460	0.00447
1461	0.00489
1462	0.00523
1463	0.0041
1464	5.57113E-4
1465	-0.00153
1466	-0.00498
1467	-0.00779
1468	-0.00949
1469	-0.00928
1470	-0.00829
1471	-0.00524
1472	-0.00353
1473	-0.00372
1474	-0.0025
1475	-0.00119
1476	-0.00188
1477	-0.00261
1478	-0.00241
1479	-0.00247
1480	-0.00179
1481	-0.0017
1482	-0.00175
1483	-0.00147
1484	-0.00129
1485	-0.00197
1486	-0.00206
1487	4.80991E-4
1488	0.00205
1489	0.00297
1490	0.00311
1491	0.00231
1492	3.82364E-4
1493	-4.10537E-4
1494	5.82652E-5
1495	0.00146
1496	0.00199
1497	0.00109
1498	0.00115
1499	-1.53333E-5
1500	-6.74501E-4
1501	-0.00211
1502	-0.0035
1503	-0.00473
1504	-0.00699
1505	-0.00992
1506	-0.0085
1507	-0.00878
1508	-0.01107
1509	-0.01032
1510	-0.00813
1511	-0.00783
1512	-0.00366
1513	9.68931E-4
1514	0.00481
1515	0.00699
1516	0.00712
1517	0.00713
1518	0.00551
1519	0.00391
1520	0.00164
1521	2.75641E-4
1522	-0.00427
1523	-0.00768
1524	-0.0098
1525	-0.00931
1526	-0.0112
1527	-0.00939
1528	-0.00579
1529	-0.00394
1530	-0.00244
1531	6.1197E-4
1532	0.00104
1533	9.40512E-4
1534	0.00202
1535	8.77462E-4
1536	-4.91753E-5
1537	-9.75812E-4
1538	-0.00286
1539	-0.00615
1540	-0.0074
1541	-0.00715
1542	-0.00552
1543	-0.00487
1544	-0.00446
1545	-0.00508
1546	-0.00554
1547	-0.00588
1548	-0.00465
1549	-0.00229
1550	0.00177
1551	0.00483
1552	0.00719
1553	0.00925
1554	0.01058
1555	0.00851
1556	0.00686
1557	0.00497
1558	0.00321
1559	0.00103
1560	-2.13074E-4
1561	-0.0026
1562	-0.00495
1563	-0.00524
1564	-0.0043
1565	-0.00228
1566	-9.16483E-4
1567	0.00114
1568	0.00244
1569	0.00355
1570	0.00425
1571	0.0073
1572	0.00972
1573	0.00998
1574	0.00814
1575	0.00648
1576	0.00406
1577	0.00209
1578	-0.00169
1579	-0.00406
1580	-0.00471
1581	-0.00521
1582	-0.00514
1583	-0.00229
1584	1.27161E-4
1585	7.48162E-4
1586	0.00187
1587	-1.89835E-4
1588	-0.00132
1589	-7.08331E-4
1590	8.87106E-4
1591	0.00117
1592	0.004
1593	0.00454
1594	0.00368
1595	0.00147
1596	8.17578E-4
1597	-9.82972E-4
1598	-0.00112
1599	-0.00149
1600	-0.00248
1601	-0.00509
1602	-0.00665
1603	-0.00668
1604	-0.00644
1605	-0.00565
1606	-0.00484
1607	-0.00405
1608	-0.0052
1609	-0.0053
1610	-0.00266
1611	0.0017
1612	0.00474
1613	0.00694
1614	0.00934
1615	0.00849
1616	0.00624
1617	0.00574
1618	0.004
1619	6.5973E-5
1620	-0.00113
1621	-0.00145
1622	-0.00238
1623	-0.00312
1624	-0.00471
1625	-0.00678
1626	-0.0074
1627	-0.00921
1628	-0.009
1629	-0.00575
1630	-0.00198
1631	0.00202
1632	0.00697
1633	0.01121
1634	0.01475
1635	0.01546
1636	0.01285
1637	0.00862
1638	0.00474
1639	0.00205
1640	-5.43531E-4
1641	-0.00249
1642	-0.00368
1643	-0.00551
1644	-0.00814
1645	-0.00818
1646	-0.00617
1647	-0.0037
1648	5.83335E-4
1649	0.00547
1650	0.0075
1651	0.00769
1652	0.00463
1653	-4.90602E-4
1654	-0.00558
1655	-0.00866
1656	-0.01079
1657	-0.00701
1658	-0.00305
1659	4.68245E-4
1660	0.00174
1661	0.00195
1662	1.83837E-6
1663	-9.8369E-4
1664	-0.00414
1665	-0.00497
1666	-0.00608
1667	-0.00815
1668	-0.00915
1669	-0.00726
1670	-0.00648
1671	-0.00495
1672	-0.0026
1673	-0.00145
1674	0.00128
1675	0.00383
1676	0.00432
1677	0.00457
1678	0.00439
1679	8.96478E-4
1680	-0.00361
1681	-0.0055
1682	-0.00806
1683	-0.0087
1684	-0.00808
1685	-0.00546
1686	-0.0033
1687	9.24262E-4
1688	0.00286
1689	0.00431
1690	0.00421
1691	0.00379
1692	0.00221
1693	0.00139
1694	-0.00113
1695	-0.0021
1696	-0.00161
1697	-0.00247
1698	-0.00289
1699	-0.00153
1700	0.00116
1701	0.00114
1702	3.69738E-4
1703	-9.93562E-4
1704	-0.00343
1705	-0.00608
1706	-0.00687
1707	-0.00568
1708	-0.00449
1709	-0.00208
1710	-0.00116
1711	4.51452E-5
1712	0.00149
1713	0.00264
1714	0.00195
1715	0.00222
1716	0.00124
1717	-9.72869E-4
1718	-0.002
1719	-0.00139
1720	-0.00111
1721	4.55265E-4
1722	0.00258
1723	0.00403
1724	0.00455
1725	0.00355
1726	0.00151
1727	-2.40699E-4
1728	-0.0026
1729	-0.0029
1730	-0.00281
1731	-0.00271
1732	-0.0015
1733	7.88455E-4
1734	0.00197
1735	0.00226
1736	0.0024
1737	-4.40682E-5
1738	-0.00332
1739	-0.00722
1740	-0.00963
1741	-0.00954
1742	-0.00777
1743	-0.00697
1744	-0.00701
1745	-0.00644
1746	-0.00723
1747	-0.00802
1748	-0.00922
1749	-0.00805
1750	-0.00696
1751	-0.0061
1752	-0.00463
1753	-6.14898E-4
1754	0.00281
1755	0.00372
1756	0.00399
1757	0.00379
1758	0.00126
1759	-4.99616E-4
1760	-0.00126
1761	-0.00201
1762	-0.00322
1763	-0.00199
1764	-0.00194
1765	-0.00146
1766	-0.00108
1767	-7.42193E-4
1768	-0.00221
1769	-0.0042
1770	-0.00571
1771	-0.00707
1772	-0.00748
1773	-0.00518
1774	-0.00427
1775	-0.00436
1776	-0.00405
1777	-0.00329
1778	-0.00743
1779	-0.00889
1780	-0.00845
1781	-0.00847
1782	-0.00826
1783	-0.0044
1784	-0.00267
1785	-0.00454
1786	-0.0061
1787	-0.00669
1788	-0.00975
1789	-0.01044
1790	-0.00854
1791	-0.0073
1792	-0.00752
1793	-0.00651
1794	-0.00664
1795	-0.00747
1796	-0.00617
1797	-0.00535
1798	-0.00387
1799	-0.00243
1800	-0.00104
1801	-0.0015
1802	-0.00153
1803	-0.00186
1804	-0.00221
1805	-0.0018
1806	4.0442E-5
1807	5.62796E-4
1808	0.00102
1809	-4.65542E-4
1810	-0.00212
1811	-0.00399
1812	-0.00533
1813	-0.00739
1814	-0.00637
1815	-0.00552
1816	-0.00643
1817	-0.00668
1818	-0.00464
1819	-0.00441
1820	-0.00311
1821	-1.21061E-4
1822	0.00385
1823	0.00622
1824	0.00749
1825	0.00592
1826	0.00401
1827	-2.76645E-4
1828	-0.00537
1829	-0.00951
1830	-0.01004
1831	-0.01038
1832	-0.00806
1833	-0.0054
1834	-0.0032
1835	-0.00205
1836	-0.002
1837	-0.00492
1838	-0.00455
1839	-0.00301
1840	-0.00277
1841	-0.00133
1842	1.70439E-5
1843	-0.00131
1844	-0.00358
1845	-0.00388
1846	-0.00531
1847	-0.00477
1848	-0.00391
1849	-0.00213
1850	-0.0023
1851	-0.00151
1852	-0.00152
1853	-0.00129
1854	-0.00173
1855	-8.16976E-4
1856	2.17801E-4
1857	0.00265
1858	0.00366
1859	0.00477
1860	0.00552
1861	0.00352
1862	-9.80747E-5
1863	-0.00326
1864	-0.0088
1865	-0.01467
1866	-0.01573
1867	-0.01584
1868	-0.01756
1869	-0.01626
1870	-0.01088
1871	-0.00624
1872	-0.00305
1873	0.00407
1874	0.01206
1875	0.01459
1876	0.01179
1877	0.00783
1878	0.0022
1879	-0.00428
1880	-0.01041
1881	-0.01205
1882	-0.01016
1883	-0.00861
1884	-0.00609
1885	-0.003
1886	-0.00133
1887	-0.00153
1888	-0.00341
1889	-0.00613
1890	-0.01007
1891	-0.01118
1892	-0.00995
1893	-0.00765
1894	-0.00597
1895	-0.00196
1896	-7.30055E-4
1897	-0.0011
1898	-0.00181
1899	-0.00144
1900	-0.00216
1901	-0.00395
1902	-0.00461
1903	-0.00308
1904	-0.00183
1905	-8.23392E-7
1906	0.0026
1907	0.00288
1908	6.32308E-5
1909	-0.00221
1910	-0.00355
1911	-0.00424
1912	-0.00471
1913	-0.00291
1914	-0.00196
1915	-0.00227
1916	-0.00224
1917	1.18783E-4
1918	0.00135
1919	0.0025
1920	0.00381
1921	0.00488
1922	0.00484
1923	0.00573
1924	0.00506
1925	0.00583
1926	0.00634
1927	0.00656
1928	0.00803
1929	0.01043
1930	0.00969
1931	0.00733
1932	0.00402
1933	-5.99955E-4
1934	-0.0034
1935	-0.00271
1936	-0.00108
1937	7.07392E-4
1938	0.00178
1939	0.00112
1940	-3.35652E-4
1941	-0.00114
1942	-0.00277
1943	-0.00278
1944	-0.00129
1945	-5.8561E-4
1946	-7.00225E-4
1947	0.00156
1948	0.00376
1949	0.00268
1950	3.04501E-4
1951	-0.00158
1952	-0.00419
1953	-0.00623
1954	-0.00718
1955	-0.00778
1956	-0.00753
1957	-0.00663
1958	-0.00716
1959	-0.00462
1960	-0.00249
1961	-0.00143
1962	-0.00187
1963	-0.00295
1964	-0.00501
1965	-0.00556
1966	-0.00519
1967	-0.00264
1968	-3.56781E-4
1969	9.88548E-4
1970	0.00398
1971	0.00583
1972	0.00522
1973	0.00547
1974	0.00387
1975	6.33402E-4
1976	-0.00143
1977	-0.00225
1978	-0.00231
1979	-0.00107
1980	7.57132E-4
1981	0.00205
1982	0.00285
1983	0.00358
1984	0.00351
1985	0.00207
1986	0.00157
1987	9.54476E-4
1988	-5.80058E-4
1989	-7.86136E-4
1990	0.00223
1991	0.00437
1992	0.00569
1993	0.00718
1994	0.00971
1995	0.00917
1996	0.00729
1997	0.00502
1998	0.00416
1999	9.65371E-4
2000	-0.00279
2001	-0.00398
2002	-0.0026
2003	-0.00134
2004	-3.65102E-4
2005	0.00126
2006	0.0014
2007	4.99795E-4
2008	-0.0018
2009	-0.00158
2010	-0.00137
2011	-0.00119
2012	-0.00177
2013	-0.00187
2014	-0.00369
2015	-0.00531
2016	-0.00493
2017	-0.00408
2018	-0.00523
2019	-0.00454
2020	-0.00482
2021	-0.0068
2022	-0.00772
2023	-0.00667
2024	-0.00707
2025	-0.00556
2026	-0.00243
2027	0.00152
2028	0.00631
2029	0.0097
2030	0.01205
2031	0.01252
2032	0.00987
2033	0.00595
2034	0.00117
2035	-0.00359
2036	-0.00788
2037	-0.01025
2038	-0.01192
2039	-0.00858
2040	-0.00448
2041	-0.00179
2042	0.00164
2043	0.00436
2044	0.00569
2045	0.00532
2046	0.00634
